,DATES,Last Price,Open Price,Low Price,High Price,Volume
271,2022-01-31,174.78,170.16,169.51,175.0,115541590
272,2022-02-01,174.61,174.01,172.31,174.84,86213911
273,2022-02-02,175.84,174.745,173.33,175.88,84914256
274,2022-02-03,172.9,174.48,172.12,176.24,89418074
275,2022-02-04,172.39,171.68,170.68,174.1,82465400
276,2022-02-07,171.66,172.86,170.95,173.946,77251204
277,2022-02-08,174.83,171.73,171.43,175.35,74829217
278,2022-02-09,176.28,176.05,174.9,176.65,71285038
279,2022-02-10,172.12,174.14,171.55,175.48,90865899
280,2022-02-11,168.64,172.33,168.04,173.08,98670687
281,2022-02-14,168.88,167.37,166.56,169.58,86185530
282,2022-02-15,172.79,170.97,170.25,172.95,64286320
283,2022-02-16,172.55,171.85,170.05,173.34,61177398
284,2022-02-17,168.88,171.03,168.47,171.91,69589344
285,2022-02-18,167.3,169.82,166.19,170.541,82772674
286,2022-02-22,164.32,164.98,162.15,166.69,91162758
287,2022-02-23,160.07,165.54,159.75,166.15,90009247
288,2022-02-24,162.74,152.58,152.0,162.85,141147540
289,2022-02-25,164.85,163.84,160.874,165.12,91974222
290,2022-02-28,165.12,163.06,162.43,165.42,95056629
291,2022-03-01,163.2,164.695,161.97,166.6,83474425
292,2022-03-02,166.56,164.39,162.95,167.36,79724750
293,2022-03-03,166.23,168.47,165.55,168.91,76678441
294,2022-03-04,163.17,164.49,162.1,165.55,83819592
295,2022-03-07,159.3,163.36,159.04,165.02,96418845
296,2022-03-08,157.44,158.82,155.8,162.88,131148280
297,2022-03-09,162.95,161.475,159.41,163.41,91454905
298,2022-03-10,158.52,160.2,155.98,160.39,105342033
299,2022-03-11,154.73,158.93,154.5,159.28,96970102
300,2022-03-14,150.62,151.45,150.1,154.12,108732111
301,2022-03-15,155.09,150.9,150.38,155.57,92964302
302,2022-03-16,159.59,157.05,154.46,160.0,102300157
303,2022-03-17,160.62,158.61,157.63,161.0,75615376
304,2022-03-18,163.98,160.51,159.76,164.48,123511692
305,2022-03-21,165.38,163.51,163.015,166.35,95811352
306,2022-03-22,168.82,165.51,164.91,169.42,81532007
307,2022-03-23,170.21,167.99,167.65,172.64,98062674
308,2022-03-24,174.07,171.06,170.21,174.14,90131418
309,2022-03-25,174.72,173.88,172.75,175.28,80546156
