Dates,Last Price,Volume,Ticker
2023-09-26,32315.05,864558400.0,NKY INDEX 
2023-09-26,3.54,57329.0,NOKIA FP EQUITY
2023-09-26,58.93,11111926.0,PYPL US EQUITY
2023-09-26,832.41,479799.0,REGN US EQUITY
2023-09-26,102.78,1402963.0,SAN FP EQUITY
2023-09-26,261.7,6133911.0,SBRY LN EQUITY
2023-09-26,405.6,1261069.0,SDR LN EQUITY
2023-09-26,729.0,1398377.0,SGRO LN EQUITY
2023-09-26,4273.53,602316295.0,SPX INDEX
2023-09-26,756.4,4132190.0,STAN LN EQUITY
2023-09-26,4129.18,260504853.0,SX5E INDEX
2023-09-26,244.12,101993631.0,TLSA US EQUITY
2023-09-26,270.1,9565200.0,TSCO LN EQUITY
2023-09-26,61.91,3829260.0,TTE FP EQUITY
2023-09-26,2.56,4316974.0,UKAB10BC INDEX
2023-09-26,4000.0,4316974.0,UKAB3YAC INDEX
2023-09-26,7625.72,493152276.0,UKX INDEX
2023-09-26,4064.0,1988569.0,ULVR LN EQUITY
2023-09-26,920.0,742963.0,UTG LN EQUITY
2023-09-26,229.65,6193243.0,V US EQUITY
2023-09-26,80.71,41568790.0,VOD LN EQUITY
2023-09-26,200.29,423340.0,VRSN US EQUITY
2023-09-26,211.41,4371935.0,VTI US EQUITY
2023-09-27,170.43,66921808.0,AAPL US EQUITY
2023-09-27,50.87,860111.0,ABI BB EQUITY
2023-09-27,502.6,3311103.0,ADBE US EQUITY
2023-09-27,227.35,944747.0,ALV GR EQUITY
2023-09-27,125.98,66553449.0,AMZN US EQUITY
2023-09-27,620.4,1436279.0,AUTO LN EQUITY
2023-09-27,149.9,3705567.0,AXP US EQUITY
2023-09-27,195.46,4015532.0,BA US EQUITY
2023-09-27,2624.5,2434884.0,BATS LN EQUITY
2023-09-27,69.63,7701770.0,BND US EQUITY
2023-09-27,47.81,1950025.0,BNDX US EQUITY
2023-09-27,60.11,2797880.0,BNP FP EQUITY
2023-09-27,53.2,15845517.0,CSCO US EQUITY
2023-09-27,19.714,6634694.0,DTE GY EQUITY
2023-09-27,2661.0,1382518.0,EXPN LN EQUITY
2023-09-27,418.6,2636916.0,EZJ LN EQUITY
2023-09-27,3.244,4316974.0,GDBR2 INDEX
2023-09-27,75.55,4442649.0,GILD US EQUITY
2023-09-27,130.54,22746452.0,GOOGL
2023-09-27,321.95,1493003.0,GS US EQUITY
2023-09-27,792.4,1470430.0,HL-LN EQUITY
2023-09-27,17611.87,1571624327.0,HSI INDEX
2023-09-27,143.17,4439121.0,IBM US EQUITY
2023-09-27,508.24,1260160.0,INTU US EQUITY
2023-09-27,4050.0,314876.0,ITRK LN EQUITY
2023-09-27,145.78,6717822.0,JPM US EQUITY
2023-09-27,579.2,2950996.0,LAND LN EQUITY
2023-09-27,44.57,76158152.0,LLOY LN EQUITY
2023-09-27,8264.0,519215.0,LSEG LN EQUITY
2023-09-27,69.99,10621343.0,MDLZ US EQUITY
2023-09-27,236.9,5440749.0,MKS LN EQUITY
2023-09-27,99.44,2367422.0,MRNA US EQUITY
2023-09-27,312.79,19410082.0,MSFT US EQUITY
2023-09-27,32371.9,1055881300.0,NKY INDEX 
2023-09-27,3.546,105884.0,NOKIA FP EQUITY
2023-09-27,57.34,19170995.0,PYPL US EQUITY
2023-09-27,832.56,380294.0,REGN US EQUITY
2023-09-27,101.68,991961.0,SAN FP EQUITY
2023-09-27,252.6,7064527.0,SBRY LN EQUITY
2023-09-27,402.6,1447340.0,SDR LN EQUITY
2023-09-27,713.6,1621446.0,SGRO LN EQUITY
2023-09-27,4274.51,637394116.0,SPX INDEX
2023-09-27,750.2,5314082.0,STAN LN EQUITY
2023-09-27,4131.68,235505637.0,SX5E INDEX
2023-09-27,240.5,136597184.0,TLSA US EQUITY
2023-09-27,265.3,11815951.0,TSCO LN EQUITY
2023-09-27,62.93,4817734.0,TTE FP EQUITY
2023-09-27,2.56,4316974.0,UKAB10BC INDEX
2023-09-27,4000.0,4316974.0,UKAB3YAC INDEX
2023-09-27,7593.22,487634504.0,UKX INDEX
2023-09-27,4032.0,2314645.0,ULVR LN EQUITY
2023-09-27,891.0,790312.0,UTG LN EQUITY
2023-09-27,229.5,6006676.0,V US EQUITY
2023-09-27,79.32,44952231.0,VOD LN EQUITY
2023-09-27,200.47,383723.0,VRSN US EQUITY
2023-09-27,211.63,4407264.0,VTI US EQUITY
2023-09-28,170.69,56294419.0,AAPL US EQUITY
2023-09-28,50.8,946149.0,ABI BB EQUITY
2023-09-28,504.67,2720174.0,ADBE US EQUITY
2023-09-28,228.4,692031.0,ALV GR EQUITY
2023-09-28,125.98,54554968.0,AMZN US EQUITY
2023-09-28,611.6,1574052.0,AUTO LN EQUITY
2023-09-28,150.23,3489905.0,AXP US EQUITY
2023-09-28,190.43,8009511.0,BA US EQUITY
2023-09-28,2570.5,3138458.0,BATS LN EQUITY
2023-09-28,69.81,9004575.0,BND US EQUITY
2023-09-28,47.76,5256154.0,BNDX US EQUITY
2023-09-28,60.47,2239087.0,BNP FP EQUITY
2023-09-28,53.88,17204417.0,CSCO US EQUITY
2023-09-28,19.85,4955408.0,DTE GY EQUITY
2023-09-28,2670.0,1135883.0,EXPN LN EQUITY
2023-09-28,418.1,3641481.0,EZJ LN EQUITY
2023-09-28,3.286,4316974.0,GDBR2 INDEX
2023-09-28,75.42,3483111.0,GILD US EQUITY
2023-09-28,132.31,22513132.0,GOOGL
2023-09-28,325.2,1389644.0,GS US EQUITY
2023-09-28,789.4,780712.0,HL-LN EQUITY
2023-09-28,17373.03,1997138803.0,HSI INDEX
2023-09-28,141.58,5783422.0,IBM US EQUITY
2023-09-28,512.24,1262675.0,INTU US EQUITY
2023-09-28,4039.0,238114.0,ITRK LN EQUITY
2023-09-28,147.59,8868063.0,JPM US EQUITY
2023-09-28,574.8,1497889.0,LAND LN EQUITY
2023-09-28,44.26,101291171.0,LLOY LN EQUITY
2023-09-28,8240.0,437849.0,LSEG LN EQUITY
2023-09-28,69.39,6688794.0,MDLZ US EQUITY
2023-09-28,235.3,4050507.0,MKS LN EQUITY
2023-09-28,100.27,2034489.0,MRNA US EQUITY
2023-09-28,313.64,19683564.0,MSFT US EQUITY
2023-09-28,31872.52,1159057200.0,NKY INDEX 
2023-09-28,3.5005,88397.0,NOKIA FP EQUITY
2023-09-28,58.18,11387580.0,PYPL US EQUITY
2023-09-28,834.57,369981.0,REGN US EQUITY
2023-09-28,100.76,1264025.0,SAN FP EQUITY
2023-09-28,250.3,6652959.0,SBRY LN EQUITY
2023-09-28,404.0,1454659.0,SDR LN EQUITY
2023-09-28,703.8,2266531.0,SGRO LN EQUITY
2023-09-28,4299.7,571201268.0,SPX INDEX
2023-09-28,756.8,4800155.0,STAN LN EQUITY
2023-09-28,4161.56,279439493.0,SX5E INDEX
2023-09-28,246.38,117058870.0,TLSA US EQUITY
2023-09-28,264.6,9103445.0,TSCO LN EQUITY
2023-09-28,63.62,5291582.0,TTE FP EQUITY
2023-09-28,2.56,4316974.0,UKAB10BC INDEX
2023-09-28,4000.0,4316974.0,UKAB3YAC INDEX
2023-09-28,7601.85,560092391.0,UKX INDEX
2023-09-28,4034.5,2892647.0,ULVR LN EQUITY
2023-09-28,883.0,525559.0,UTG LN EQUITY
2023-09-28,231.66,4203886.0,V US EQUITY
2023-09-28,77.75,53011884.0,VOD LN EQUITY
2023-09-28,202.59,426450.0,VRSN US EQUITY
2023-09-28,213.03,2952364.0,VTI US EQUITY
2023-09-29,171.21,51861083.0,AAPL US EQUITY
2023-09-29,52.51,1862156.0,ABI BB EQUITY
2023-09-29,509.9,2796314.0,ADBE US EQUITY
2023-09-29,224.95,1345053.0,ALV GR EQUITY
2023-09-29,127.12,62411730.0,AMZN US EQUITY
2023-09-29,617.6,2024142.0,AUTO LN EQUITY
2023-09-29,149.19,3579475.0,AXP US EQUITY
2023-09-29,191.68,5158379.0,BA US EQUITY
2023-09-29,2577.0,2961792.0,BATS LN EQUITY
2023-09-29,69.78,7650811.0,BND US EQUITY
2023-09-29,47.83,2185676.0,BNDX US EQUITY
2023-09-29,60.43,2830079.0,BNP FP EQUITY
2023-09-29,53.76,13951241.0,CSCO US EQUITY
2023-09-29,19.868,7472604.0,DTE GY EQUITY
2023-09-29,2691.0,1387366.0,EXPN LN EQUITY
2023-09-29,427.3,3338481.0,EZJ LN EQUITY
2023-09-29,3.203,4316974.0,GDBR2 INDEX
2023-09-29,74.94,4179998.0,GILD US EQUITY
2023-09-29,130.86,30859790.0,GOOGL
2023-09-29,323.57,1403878.0,GS US EQUITY
2023-09-29,773.2,1645607.0,HL-LN EQUITY
2023-09-29,17809.66,1839910280.0,HSI INDEX
2023-09-29,140.3,5703983.0,IBM US EQUITY
2023-09-29,510.94,1499651.0,INTU US EQUITY
2023-09-29,4112.0,334784.0,ITRK LN EQUITY
2023-09-29,145.02,11917826.0,JPM US EQUITY
2023-09-29,589.8,1935413.0,LAND LN EQUITY
2023-09-29,44.37,81552658.0,LLOY LN EQUITY
2023-09-29,8234.0,726209.0,LSEG LN EQUITY
2023-09-29,69.4,5562840.0,MDLZ US EQUITY
2023-09-29,236.6,7013258.0,MKS LN EQUITY
2023-09-29,103.29,4202908.0,MRNA US EQUITY
